date,open,close,high,low,volume,money
2023-03-01,13.8,14.17,14.19,13.74,122345178.0,1719710647.0
2023-03-02,14.13,14.24,14.44,14.06,101587684.0,1447565980.0
2023-03-03,14.35,14.29,14.37,14.14,69095439.0,985552121.0
2023-03-06,14.3,13.85,14.3,13.72,145582414.0,2023954547.0
2023-03-07,13.85,13.69,14.1,13.65,127926629.0,1773654737.0
2023-03-08,13.63,13.53,13.64,13.4,109689791.0,1479838980.0
2023-03-09,13.54,13.2,13.58,13.13,173606476.0,2305765842.0
2023-03-10,13.0,13.14,13.27,13.0,85699610.0,1128558360.0
2023-03-13,13.12,13.05,13.29,13.0,100063496.0,1309490079.0
2023-03-14,12.99,12.87,13.0,12.73,114907558.0,1474124199.0
2023-03-15,13.05,13.05,13.18,12.94,97936372.0,1278262225.0
2023-03-16,12.89,12.82,13.03,12.8,91679249.0,1182054434.0
2023-03-17,12.99,12.75,13.04,12.65,155681414.0,2000832408.0
2023-03-20,12.76,12.57,12.85,12.55,118881633.0,1505893659.0
2023-03-21,12.65,12.7,12.78,12.5,84074317.0,1060914056.0
2023-03-22,12.75,12.79,12.88,12.71,87669077.0,1121080753.0
2023-03-23,12.7,12.9,12.9,12.63,80430604.0,1029380497.0
2023-03-24,12.85,12.82,12.86,12.76,62151875.0,796319542.0
2023-03-27,12.8,12.6,12.81,12.46,100842214.0,1266945056.0
2023-03-28,12.66,12.64,12.73,12.55,67386843.0,851797869.0
2023-03-29,12.73,12.53,12.74,12.5,59606433.0,750687551.0
2023-03-30,12.55,12.68,12.71,12.41,82454624.0,1035422932.0
2023-03-31,12.69,12.53,12.77,12.51,86549166.0,1092263437.0
2023-04-03,12.55,12.67,12.69,12.46,74042886.0,934285179.0
2023-04-04,12.64,12.65,12.72,12.59,64745722.0,817726527.0
2023-04-06,12.6,12.58,12.61,12.5,56332130.0,706480660.0
2023-04-07,12.57,12.62,12.69,12.5,60792526.0,767354797.0
2023-04-10,12.64,12.68,12.7,12.58,64018181.0,809943148.0
